Rating,# words,# pics,Days since review,Useful
5,69,0,580,Not Useful
5,52,0,552,Not Useful
5,115,0,638,Not Useful
5,101,0,533,Not Useful
5,52,0,557,Not Useful
3,167,0,558,Not Useful
5,65,0,354,Not Useful
5,28,0,538,Not Useful
2,408,3,439,Not Useful
5,43,0,563,Not Useful
5,51,0,657,Not Useful
5,53,0,393,Not Useful
5,16,0,613,Not Useful
5,67,0,557,Not Useful
5,41,0,601,Not Useful
5,67,1,569,Not Useful
5,38,0,581,Not Useful
5,109,0,641,Not Useful
5,28,0,410,Not Useful
5,28,0,615,Not Useful
5,18,0,647,Not Useful
5,49,0,605,Not Useful
5,92,0,462,Not Useful
5,118,0,628,Not Useful
5,41,0,647,Not Useful
5,13,0,654,Not Useful
4,57,0,462,Not Useful
5,199,0,544,Not Useful
5,23,0,510,Not Useful
5,155,0,645,Not Useful
5,40,0,645,Not Useful
5,51,0,468,Not Useful
5,187,0,571,Not Useful
5,176,0,637,Slightly Useful
1,180,0,534,Not Useful
5,88,0,643,Not Useful
5,60,0,650,Slightly Useful
5,79,0,654,Not Useful
5,131,0,626,Not Useful
5,41,0,633,Not Useful
5,51,0,660,Not Useful
5,100,1,159,Not Useful
4,459,0,169,Slightly Useful
4,187,1,178,Slightly Useful
5,138,1,184,Slightly Useful
5,134,1,196,Moderately Useful
5,86,1,167,Slightly Useful
4,79,1,256,Not Useful
5,165,1,183,Not Useful
4,30,0,142,Not Useful
5,50,0,142,Not Useful
5,341,0,257,Not Useful
5,178,1,395,Slightly Useful
5,155,2,431,Slightly Useful
5,37,0,152,Not Useful
5,79,0,142,Not Useful
4,130,4,480,Highly Useful
5,207,1,485,Moderately Useful
5,70,0,151,Not Useful
5,160,0,203,Not Useful
5,108,2,495,Slightly Useful
5,240,0,344,Highly Useful
5,31,0,161,Not Useful
4,110,0,231,Not Useful
4,81,1,557,Slightly Useful
5,69,1,344,Not Useful
5,39,0,160,Not Useful
5,194,0,416,Moderately Useful
5,29,0,161,Not Useful
4,116,0,376,Not Useful
5,63,0,200,Not Useful
5,93,0,403,Not Useful
5,51,0,172,Not Useful
5,13,0,153,Not Useful
5,11,0,205,Not Useful
5,23,0,221,Not Useful
5,371,0,501,Slightly Useful
5,70,0,296,Not Useful
5,115,1,481,Slightly Useful
2,207,1,724,Slightly Useful
4,58,0,565,Slightly Useful
5,46,0,202,Not Useful
5,41,0,203,Not Useful
5,40,0,222,Not Useful
5,139,0,578,Slightly Useful
4,139,0,405,Slightly Useful
5,80,0,574,Not Useful
5,73,1,588,Not Useful
5,25,0,454,Slightly Useful
5,224,1,826,Moderately Useful
5,124,1,825,Slightly Useful
5,180,0,469,Moderately Useful
5,30,0,229,Not Useful
5,222,1,844,Moderately Useful
4,133,0,655,Slightly Useful
5,151,0,656,Not Useful
5,39,0,261,Not Useful
5,27,0,173,Not Useful
4,86,0,354,Not Useful
4,150,1,860,Slightly Useful
4,35,1,413,Not Useful
3,52,1,426,Not Useful
5,58,0,394,Not Useful
4,128,0,514,Slightly Useful
5,22,0,283,Not Useful
5,130,2,742,Moderately Useful
5,31,1,476,Not Useful
5,226,0,436,Not Useful
5,88,0,304,Not Useful
5,52,0,316,Not Useful
4,206,0,1012,Slightly Useful
5,37,1,525,Not Useful
5,139,0,779,Slightly Useful
4,52,0,568,Not Useful
3,145,0,579,Not Useful
5,18,0,331,Not Useful
5,107,0,248,Not Useful
5,43,0,315,Not Useful
5,66,0,473,Slightly Useful
5,48,0,336,Not Useful
5,11,0,414,Not Useful
5,12,1,356,Not Useful
5,141,0,414,Not Useful
5,84,0,422,Not Useful
5,135,0,347,Not Useful
5,139,0,658,Not Useful
5,69,0,373,Not Useful
5,111,0,665,Not Useful
3,157,0,859,Slightly Useful
3,78,0,688,Not Useful
5,20,0,266,Not Useful
5,75,1,913,Slightly Useful
5,49,0,399,Not Useful
5,48,1,802,Not Useful
5,12,0,498,Not Useful
4,81,1,880,Not Useful
4,40,0,707,Not Useful
4,134,1,962,Slightly Useful
5,120,0,295,Not Useful
5,73,1,682,Not Useful
5,29,0,421,Not Useful
5,67,0,485,Not Useful
5,52,1,868,Not Useful
5,38,0,523,Not Useful
5,129,0,486,Not Useful
4,442,1,779,Slightly Useful
5,168,0,767,Slightly Useful
5,173,0,378,Not Useful
4,149,0,514,Not Useful
5,78,0,487,Not Useful
5,15,0,490,Not Useful
4,60,0,469,Not Useful
5,15,1,704,Not Useful
5,350,0,810,Slightly Useful
5,31,3,754,Not Useful
3,30,0,598,Not Useful
5,30,0,505,Not Useful
5,47,0,322,Not Useful
5,86,0,356,Not Useful
5,27,0,565,Not Useful
4,83,0,558,Not Useful
5,94,0,654,Not Useful
5,33,0,621,Not Useful
5,148,0,815,Not Useful
4,185,0,823,Not Useful
5,48,0,551,Not Useful
5,40,2,768,Not Useful
5,51,0,677,Not Useful
5,6,0,438,Not Useful
5,64,0,385,Not Useful
5,60,0,859,Not Useful
5,28,0,447,Not Useful
5,51,0,608,Not Useful
5,21,0,393,Not Useful
5,17,0,398,Not Useful
5,60,0,584,Not Useful
5,63,0,585,Not Useful
4,43,0,436,Not Useful
5,90,0,936,Slightly Useful
5,27,1,859,Not Useful
4,133,1,931,Not Useful
5,159,0,872,Not Useful
5,37,0,631,Not Useful
4,40,0,1023,Slightly Useful
5,40,0,968,Not Useful
4,136,0,957,Slightly Useful
4,37,0,972,Slightly Useful
5,51,2,1000,Slightly Useful
4,172,0,930,Not Useful
5,26,2,905,Not Useful
5,65,0,962,Not Useful
5,26,0,647,Not Useful
5,191,0,956,Slightly Useful
5,59,0,907,Not Useful
5,51,0,473,Not Useful
4,24,1,1010,Not Useful
5,19,0,713,Not Useful
5,21,0,742,Not Useful
5,32,0,722,Not Useful
5,62,0,691,Not Useful
5,41,0,649,Not Useful
5,6,0,551,Not Useful
4,55,2,977,Not Useful
5,90,0,849,Not Useful
5,23,0,772,Not Useful
5,27,0,829,Not Useful
3,139,0,844,Not Useful
4,16,0,667,Not Useful
5,91,0,664,Not Useful
5,77,0,958,Not Useful
5,18,0,889,Not Useful
5,30,0,812,Not Useful
4,30,0,924,Not Useful
5,43,0,913,Not Useful
5,97,0,738,Not Useful
4,156,0,1022,Not Useful
5,38,0,828,Not Useful
5,82,0,900,Not Useful
5,18,0,949,Not Useful
5,37,0,908,Not Useful
5,86,0,918,Not Useful
5,64,0,931,Not Useful
5,17,0,694,Not Useful
5,200,0,483,Not Useful
5,47,0,856,Not Useful
4,43,0,964,Not Useful
5,16,0,936,Not Useful
4,31,0,871,Not Useful
5,14,0,987,Not Useful
5,171,0,771,Not Useful
5,35,0,807,Not Useful
5,65,0,981,Not Useful
5,61,0,1018,Not Useful
5,13,0,1023,Not Useful
5,91,0,971,Not Useful
5,17,0,782,Not Useful
5,20,0,1005,Not Useful
5,22,0,769,Not Useful
4,23,0,834,Not Useful
3,13,0,918,Not Useful
5,57,0,996,Not Useful
5,85,0,147,Not Useful
4,250,2,145,Not Useful
5,35,4,152,Not Useful
4,160,2,156,Not Useful
5,628,4,192,Extremely Useful
5,68,4,157,Not Useful
4,294,4,182,Slightly Useful
5,140,1,151,Not Useful
5,100,7,196,Slightly Useful
5,87,1,156,Not Useful
5,158,1,152,Not Useful
5,82,0,146,Not Useful
5,64,0,145,Not Useful
5,443,0,179,Slightly Useful
5,15,0,144,Not Useful
5,125,1,178,Slightly Useful
5,46,0,149,Not Useful
3,233,0,189,Not Useful
5,133,0,188,Not Useful
5,47,1,167,Not Useful
5,88,4,187,Not Useful
5,51,0,154,Not Useful
5,32,0,142,Not Useful
5,95,0,162,Not Useful
2,263,0,148,Not Useful
5,47,0,191,Slightly Useful
5,234,0,151,Not Useful
5,251,0,156,Not Useful
5,14,0,149,Not Useful
3,48,0,151,Not Useful
5,70,0,158,Not Useful
5,13,0,197,Not Useful
5,17,1,198,Not Useful
5,103,0,172,Not Useful
5,117,0,170,Not Useful
5,42,0,176,Not Useful
1,63,0,181,Not Useful
5,250,3,145,Not Useful
5,72,0,156,Not Useful
4,62,1,160,Not Useful
5,211,9,166,Highly Useful
1,180,0,168,Moderately Useful
5,22,1,148,Not Useful
4,76,3,215,Not Useful
4,120,0,154,Slightly Useful
5,69,2,163,Not Useful
5,67,0,184,Not Useful
5,78,0,196,Not Useful
2,108,1,304,Slightly Useful
4,92,0,240,Slightly Useful
5,325,4,344,Slightly Useful
5,44,0,148,Not Useful
5,160,1,225,Not Useful
5,141,0,280,Slightly Useful
5,21,0,152,Not Useful
4,177,1,218,Slightly Useful
4,161,1,432,Not Useful
5,61,5,504,Slightly Useful
5,313,1,530,Extremely Useful
5,73,12,301,Not Useful
4,82,3,474,Not Useful
4,117,3,362,Slightly Useful
5,29,1,199,Not Useful
4,137,4,483,Not Useful
4,23,0,162,Not Useful
5,83,1,251,Not Useful
5,90,1,565,Not Useful
5,30,0,149,Not Useful
5,129,0,256,Not Useful
4,422,4,415,Moderately Useful
2,145,0,328,Not Useful
4,56,0,194,Not Useful
5,53,2,275,Not Useful
2,205,0,392,Not Useful
3,153,7,440,Slightly Useful
4,335,4,435,Slightly Useful
3,86,0,388,Not Useful
5,76,0,181,Not Useful
5,55,0,273,Not Useful
4,87,1,617,Not Useful
5,34,0,188,Not Useful
4,155,5,440,Not Useful
5,234,0,483,Not Useful
4,151,0,564,Slightly Useful
4,721,7,487,Not Useful
4,50,0,203,Not Useful
5,26,0,211,Not Useful
4,94,0,366,Not Useful
5,107,0,502,Not Useful
2,124,0,385,Slightly Useful
4,253,2,773,Moderately Useful
4,24,2,504,Not Useful
4,47,0,261,Not Useful
4,61,0,352,Not Useful
5,115,0,460,Slightly Useful
5,31,1,422,Not Useful
5,151,1,502,Not Useful
5,212,2,268,Not Useful
4,130,1,593,Not Useful
4,34,0,372,Not Useful
5,84,1,650,Slightly Useful
3,75,1,420,Not Useful
4,214,0,459,Not Useful
4,39,2,416,Not Useful
5,52,2,608,Not Useful
4,34,0,285,Not Useful
5,101,0,418,Not Useful
1,39,2,404,Not Useful
5,100,0,512,Not Useful
5,345,0,725,Slightly Useful
5,47,9,902,Slightly Useful
5,210,1,456,Not Useful
5,61,0,292,Not Useful
5,50,4,649,Not Useful
5,129,0,509,Not Useful
5,73,0,564,Not Useful
4,76,0,211,Not Useful
5,46,0,391,Not Useful
5,167,0,586,Slightly Useful
4,87,0,717,Not Useful
5,53,1,729,Slightly Useful
5,89,0,552,Not Useful
4,20,0,314,Not Useful
5,22,1,593,Not Useful
5,16,0,331,Not Useful
4,134,0,647,Slightly Useful
5,57,0,321,Not Useful
5,160,0,502,Not Useful
5,276,0,612,Not Useful
5,93,0,511,Not Useful
5,56,0,331,Not Useful
4,79,0,358,Not Useful
5,21,0,489,Slightly Useful
5,80,0,363,Not Useful
5,29,0,340,Not Useful
5,23,0,369,Not Useful
4,96,0,471,Not Useful
4,63,0,486,Not Useful
4,114,0,654,Not Useful
5,19,0,400,Not Useful
5,129,0,446,Not Useful
5,118,0,628,Not Useful
5,41,0,386,Not Useful
3,21,0,407,Not Useful
5,60,0,410,Not Useful
4,53,0,397,Not Useful
5,191,0,558,Not Useful
5,27,0,260,Not Useful
5,15,0,260,Not Useful
5,21,0,684,Not Useful
5,64,0,710,Slightly Useful
5,16,0,388,Not Useful
4,105,0,413,Not Useful
4,161,0,390,Not Useful
4,63,0,462,Not Useful
4,20,0,394,Not Useful
3,132,0,965,Slightly Useful
4,57,0,420,Not Useful
5,35,2,862,Not Useful
5,13,0,271,Not Useful
3,60,0,425,Not Useful
5,14,0,451,Not Useful
4,206,0,735,Slightly Useful
5,15,0,453,Not Useful
3,88,0,941,Not Useful
4,210,2,878,Not Useful
5,19,0,420,Not Useful
5,93,1,666,Not Useful
3,22,1,641,Not Useful
4,83,1,664,Not Useful
5,108,0,1060,Moderately Useful
5,36,0,441,Not Useful
5,8,0,443,Not Useful
5,82,0,508,Not Useful
5,17,0,656,Not Useful
5,44,0,298,Not Useful
5,54,0,456,Not Useful
5,19,0,460,Not Useful
5,30,0,485,Not Useful
5,161,0,689,Not Useful
5,50,0,1111,Slightly Useful
5,28,1,735,Not Useful
5,16,1,675,Not Useful
5,52,0,782,Not Useful
5,35,0,498,Not Useful
4,140,0,1107,Slightly Useful
5,99,0,741,Not Useful
5,26,1,652,Not Useful
5,58,0,510,Not Useful
5,38,0,544,Not Useful
4,72,0,548,Not Useful
3,29,1,537,Not Useful
4,14,0,538,Not Useful
5,62,0,583,Not Useful
4,148,0,842,Slightly Useful
5,144,0,755,Slightly Useful
5,36,0,507,Not Useful
5,161,0,854,Slightly Useful
5,19,0,520,Not Useful
4,11,0,362,Not Useful
5,29,0,638,Not Useful
5,70,0,1237,Slightly Useful
5,245,3,1557,Slightly Useful
5,73,0,554,Not Useful
5,75,0,534,Not Useful
5,76,0,648,Not Useful
5,48,0,742,Not Useful
3,34,0,607,Not Useful
3,79,0,854,Not Useful
5,212,8,1590,Not Useful
5,49,1,922,Slightly Useful
4,46,0,647,Not Useful
5,104,0,1235,Not Useful
4,217,0,1239,Not Useful
5,20,0,607,Not Useful
4,27,0,622,Not Useful
5,30,3,771,Not Useful
5,111,0,772,Not Useful
3,33,0,906,Not Useful
4,23,0,1179,Not Useful
4,91,0,1229,Not Useful
5,48,0,618,Not Useful
4,154,0,1326,Slightly Useful
5,121,0,959,Slightly Useful
4,34,0,649,Not Useful
4,8,0,789,Not Useful
3,165,0,856,Not Useful
5,14,0,608,Not Useful
5,52,1,869,Not Useful
4,106,2,968,Slightly Useful
5,20,1,834,Not Useful
5,38,0,594,Not Useful
4,210,2,1879,Moderately Useful
3,90,0,412,Not Useful
5,29,0,598,Not Useful
4,39,0,673,Not Useful
4,22,0,629,Not Useful
5,119,0,1402,Moderately Useful
4,109,0,1018,Slightly Useful
5,93,0,634,Not Useful
4,113,0,956,Not Useful
5,55,0,679,Not Useful
4,44,0,618,Not Useful
4,22,0,689,Not Useful
5,20,0,442,Not Useful
4,402,0,902,Not Useful
4,286,1,1411,Slightly Useful
5,172,0,1442,Slightly Useful
5,121,0,1343,Not Useful
4,166,3,1396,Slightly Useful
3,66,0,701,Not Useful
3,193,0,1049,Slightly Useful
5,401,0,1097,Moderately Useful
5,31,0,486,Not Useful
5,83,0,1069,Slightly Useful
5,38,0,694,Not Useful
5,29,0,738,Not Useful
5,104,0,1030,Not Useful
5,131,0,1063,Not Useful
3,499,0,770,Not Useful
5,143,0,1522,Moderately Useful
5,185,0,1097,Slightly Useful
5,177,1,714,Not Useful
5,21,0,516,Not Useful
5,27,1,903,Not Useful
5,30,0,668,Not Useful
5,75,0,1158,Slightly Useful
4,113,0,925,Not Useful
4,23,0,718,Not Useful
5,80,0,1172,Slightly Useful
5,24,0,768,Not Useful
5,36,0,743,Not Useful
4,47,0,1178,Slightly Useful
5,133,0,1540,Slightly Useful
5,23,0,549,Not Useful
4,346,1,1236,Moderately Useful
4,69,0,786,Not Useful
5,46,2,1066,Not Useful
5,25,0,720,Not Useful
4,153,0,1229,Slightly Useful
5,103,0,1184,Not Useful
4,32,0,547,Not Useful
5,227,4,1641,Slightly Useful
5,35,0,762,Not Useful
4,17,0,618,Not Useful
4,141,0,1127,Not Useful
5,32,0,870,Not Useful
5,71,0,875,Slightly Useful
5,99,1,1126,Not Useful
5,55,0,875,Not Useful
5,38,0,816,Not Useful
5,35,0,783,Not Useful
4,120,1,1146,Not Useful
3,55,0,1243,Not Useful
5,65,0,1202,Not Useful
5,52,3,1144,Not Useful
5,24,3,1225,Slightly Useful
5,154,2,1121,Not Useful
5,105,0,899,Not Useful
5,41,0,824,Not Useful
5,126,0,1311,Not Useful
5,63,0,883,Not Useful
5,69,0,927,Not Useful
4,51,0,1229,Not Useful
5,39,0,1257,Not Useful
5,63,0,982,Slightly Useful
4,142,1,1752,Not Useful
5,27,0,923,Not Useful
5,31,0,845,Not Useful
4,115,0,832,Not Useful
4,32,0,702,Not Useful
5,111,0,1404,Slightly Useful
4,59,0,978,Not Useful
5,79,0,892,Not Useful
5,107,0,1454,Slightly Useful
5,61,0,993,Not Useful
5,47,0,975,Not Useful
5,136,0,691,Not Useful
5,89,0,1433,Slightly Useful
5,18,0,1069,Not Useful
5,16,0,1021,Not Useful
3,180,0,1362,Not Useful
5,102,0,1088,Not Useful
5,113,0,1278,Not Useful
5,114,0,913,Not Useful
5,20,2,1338,Not Useful
4,289,0,1355,Not Useful
5,172,0,1456,Not Useful
5,293,0,1530,Slightly Useful
5,266,0,1511,Slightly Useful
5,133,0,1133,Slightly Useful
4,55,0,990,Not Useful
5,13,0,1129,Not Useful
5,32,0,873,Not Useful
4,73,0,919,Not Useful
5,29,0,921,Not Useful
4,29,0,1400,Not Useful
5,34,0,888,Not Useful
5,57,0,1125,Not Useful
5,77,0,1200,Slightly Useful
5,18,0,1015,Not Useful
5,361,0,1612,Moderately Useful
4,64,0,893,Not Useful
4,32,0,1133,Not Useful
5,159,0,921,Not Useful
4,112,0,1174,Not Useful
5,48,0,761,Not Useful
4,269,0,1625,Slightly Useful
3,265,0,831,Not Useful
5,79,0,1140,Not Useful
5,36,0,750,Not Useful
5,27,0,728,Not Useful
5,43,0,1233,Slightly Useful
5,32,0,1150,Not Useful
5,52,0,1001,Not Useful
5,29,0,1227,Not Useful
4,165,0,1445,Not Useful
5,23,1,1422,Not Useful
4,215,0,1490,Not Useful
5,158,0,1586,Not Useful
5,33,0,1064,Not Useful
5,47,0,800,Not Useful
4,102,0,1691,Slightly Useful
5,112,0,1579,Not Useful
4,41,0,1185,Not Useful
5,20,0,1005,Not Useful
4,39,0,1277,Not Useful
5,49,0,1200,Not Useful
5,11,0,992,Not Useful
5,149,0,1811,Slightly Useful
3,183,0,839,Not Useful
5,14,0,1267,Not Useful
5,32,0,1142,Not Useful
4,106,0,1547,Not Useful
5,183,0,1763,Slightly Useful
4,14,0,1147,Not Useful
5,32,0,1080,Not Useful
4,48,0,1111,Not Useful
5,57,0,1277,Not Useful
5,272,0,1731,Slightly Useful
4,104,0,954,Not Useful
5,43,0,1126,Not Useful
5,91,0,1326,Not Useful
5,70,0,1295,Not Useful
4,43,0,825,Not Useful
4,30,0,1148,Not Useful
5,67,0,1322,Not Useful
4,39,0,1203,Not Useful
5,44,0,1286,Not Useful
5,56,0,1251,Not Useful
4,382,0,1805,Not Useful
5,131,0,1898,Not Useful
5,83,0,1862,Not Useful
5,96,0,1200,Not Useful
4,90,0,1202,Not Useful
4,174,0,734,Not Useful
5,14,1,1948,Slightly Useful
5,238,0,1103,Not Useful
5,82,0,1323,Not Useful
5,52,0,1053,Not Useful
5,45,0,1378,Not Useful
5,85,0,1294,Not Useful
5,23,0,931,Not Useful
4,70,0,1447,Not Useful
5,48,0,1492,Not Useful
4,63,0,1461,Not Useful
5,119,0,1551,Not Useful
3,21,0,1479,Not Useful
4,112,0,1474,Not Useful
5,225,0,1387,Not Useful
5,22,0,1480,Not Useful
5,14,0,1039,Not Useful
5,79,0,1641,Slightly Useful
5,34,0,1056,Not Useful
4,64,0,1622,Not Useful
4,18,0,1178,Not Useful
5,45,0,1045,Not Useful
5,29,0,1180,Not Useful
4,33,0,1479,Not Useful
5,212,4,1186,Not Useful
4,16,0,1557,Not Useful
5,9,0,1445,Not Useful
5,41,0,1447,Not Useful
5,57,0,1536,Not Useful
4,14,0,1741,Not Useful
4,118,0,1121,Not Useful
5,64,0,1798,Not Useful
5,27,0,1195,Not Useful
5,258,0,1641,Not Useful
5,226,0,1556,Slightly Useful
5,140,0,1623,Not Useful
5,16,0,1851,Not Useful
5,49,0,1835,Not Useful
5,91,0,1656,Slightly Useful
5,30,0,1395,Not Useful
5,36,0,1469,Not Useful
4,180,0,1609,Not Useful
5,87,0,1479,Not Useful
5,82,0,1853,Slightly Useful
5,78,0,1515,Not Useful
5,114,0,1715,Not Useful
5,44,0,1753,Not Useful
5,413,3,141,Not Useful
4,367,1,146,Not Useful
4,56,3,146,Slightly Useful
4,49,7,156,Slightly Useful
5,423,4,178,Moderately Useful
5,173,6,178,Slightly Useful
5,353,22,189,Slightly Useful
5,313,2,200,Moderately Useful
5,146,3,180,Not Useful
4,37,3,159,Not Useful
5,81,3,159,Not Useful
3,715,1,160,Not Useful
5,267,3,235,Highly Useful
